Código,Castellano,Català,Euskera,Galego,Asturianu
TXT001,BALANCE SOCIAL DE LA ECONOMÍA SOCIAL Y SOLIDARIA,BALANÇ SOCIAL DE L'ECONOMIA SOCIAL I SOLIDÀRIA,,,BALANCE SOCIAL DE LA ECONOMÍA SOCIAL Y SOLIDARIA
TXT002,AUDITORÍA SOCIAL DE LA ECONOMÍA SOCIAL Y SOLIDARIA,AUDITORIA SOCIAL DE L'ECONOMIA SOCIAL I SOLIDÀRIA,EKONOMIA SOZIAL ETA SOLIDARIOAREN AUDITORIA SOZIALA,AUDITORÍA SOCIAL DA ECONOMÍA SOCIAL E SOLIDARIA,
TXT003,ENSEÑA EL CORAZÓN,ENSENYA EL COR,bihotza erakusten du,ENSINA O CORAZÓN,ENSEÑA'L CORAZÓN
TXT004,Personas de la organización,Persones de l'organització,pertsona erakundean,Persoas da organización,Persones de la organización
TXT005,Mujeres,Dones,Emakumeak,Mulleres,Muyeres
TXT006,Hombres,Homes,Gizonak,Homes,Homes
TXT007,Identidades No binarias,Identitats no-binàries,Nortasun ez-bitarrak,Identidades non-binarias,Identidaes non binaries
TXT008,TRABAJADORAS,Treballadores,LANGILEAK,TRABALLADORAS,TRABAYADORES
G1,La entidad no cuenta con personas trabajadoras,L'entitat no compta amb persones treballadores,Erakundeak ez du langilerik,A entidade non conta con persoas traballadoras,La entidá nun cunta con persones trabayadores
TXT010,VOLUNTARIAS,Voluntàries,BOLUNTARIOAK,VOLUNTARIAS,VOLUNTARIES
G2,Por su estructura la entidad no cuenta con personas voluntarias,"Per la seva estructura, l'entitat no compta amb persones voluntàries","Bere egituragatik, erakundeak ez du boluntariorik","Pola súa estrutura, a entidade non conta con persoas voluntarias",Pola so estructura la entidá nun cunta con persones voluntaries
TXT012,ASOCIADAS,Sòcies,BAZKIDEAK,ASOCIADAS,ASOCIAES
G3,Por su estructura la entidad no cuenta con personas asociadas,"Per la seva estructura, l'entitat no compta amb persones sòcies","Bere egituragatik, erakundeak ez du bazkiderik","Pola súa estrutura, a entidade non conta con persoas asociadas","Pola so estructura la entidá nun cunta con persones acomuñaes (val asina, pero si emplegáis ""asociaes"" enriba, ye meyor caltener la mesma forma ""asociaes"")"
TXT014,Ingresos,Ingressos,Diru-sarrerak,Ingresos,Ingresos
TXT015,Gastos,Despeses,Gastuak,Gastos,Gastos
TXT016,EQUIDAD,EQUITAT,EKITATEA,EQUIDADE,EQUIDÁ
TXT017,Puestos de responsabilidad ocupados por mujeres,Llocs de responsabilitat ocupats per dones,Emakumeek betetako erantzukizuneko lanpostuak,Postos de responsabilidade ocupados por mulleres,Puestos de responsabilidá ocupaos por muyeres
E1,Esta entidad cuenta con representación horizontal,Aquesta entitat compta amb representació horitzonal,Erakunde honek ordezkaritza horizontala du,Esta entidade conta con representación horizontal,Esta entidá cunta con representación horizontal
TXT018,Proporción salarial entre la plantilla,Proporció salarial entre la plantilla,Plantillaren soldata-proportzioa,Proporción salarial entre o persoal,Proporción salarial ente la plantiya
E6,No se puede calcular porque no hay personal contratado,No es pot calcular perquè no hi ha personal contractat,Ezin da kalkulatu langilerik ez dagoelako,Non se pode calcular porque non hai persoal contratado,Nunpuede calculase porque nun hai personal contratao
TXT020,Brecha salarial entre hombres y mujeres,Bretxa salarial entres homes i dones,Gizonen eta emakumeen arteko soldata-arrakala,Fenda salarial entre homes e mulleres,Fienda salarial ente homes y muyeres
E2,No se puede calcular porque la entidad no cuenta con trabajadoras,No es pot calcular perquè l'entitat no compta amb treballadores,Ezin da kalkulatu erakundeak ez duelako langilerik,Non se pode calcular porque a entidade non conta con traballadoras,Nun puede calculase porque la entidá nun cunta con trabayadores
E5,En esta entidad las trabajadoras y los trabajadores tienen la misma remuneración,En aquesta entitat les treballadores i treballadors tenen la mateixa remuneració,"Erakunde horretan, langileek ordainsari bera dute.","Nesta entidade, as traballadoras e os traballadores teñen a mesma remuneración",Nesta entidá lestrabayadores y lostrabayadores tienen la mesma remuneración
E3,No se puede calcular porque la entidad sólo tiene una trabajadora,No es pot calcular perquè l'entitat compta només amb una treballadora,Ezin da kalkulatu erakundeak langile bakarra duelako,Non se pode calcular porque a entidade só ten unha traballadora,Nun puede calculase porque la entidá namái tien una trabayadora
E4,No se puede calcular porque la entidad es no mixta,No es pot calcular perquè l'entitat no és mixta,Ezin da kalkulatu erakundea ez delako mistoa,Non se pode calcular porque a entidade é non-mixta,Nun puede calculase porque la entidá ye non mista
TXT025,Los hombres ganan un ind97% más que las mujeres,Els homes guanyen un ind97% més que les dones,Gizonek emakumeek baino % ind97 gehiago irabazten dute,Os homes gañan un ind97% máis cás mulleres,Los homes ganen un ind97% más que les muyeres
TXT026,Las mujeres ganan un ind97% mas que los hombres,Les dones guanyen un ind97% més que els homes,Emakumeek gizonek baino % ind97 gehiago irabazten dute,As mulleres gañan un ind97% máis ca os homes,Les muyeres ganen un ind97% más que los homes
TXT027,Difusión de salarios a la plantilla,Difusió dels salaris a la plantilla,Langileen artean soldatak zabaltzea,Difusión de salarios ao persoal,Espardimientu de salarios a la plantiya
E9,No corresponde porque solo hay una persona trabajadora,No correspon perquè només hi ha una persona treballadora,"Ez dagokio, langile bakarra dagoelako",Non corresponde porque só hai unha persoa traballadora,Nun correspuende porque solo hai una persona trabayadora
