Código,Castellano,Català,Euskera,Galego
TXT001,BALANCE SOCIAL DE LA ECONOMÍA SOCIAL Y SOLIDARIA,BALANÇ SOCIAL DE L'ECONOMIA SOCIAL I SOLIDÀRIA,,
TXT002,AUDITORÍA SOCIAL DE LA ECONOMÍA SOCIAL Y SOLIDARIA,AUDITORIA SOCIAL DE L'ECONOMIA SOCIAL I SOLIDÀRIA,EKONOMIA SOZIAL ETA SOLIDARIOAREN AUDITORIA SOZIALA,AUDITORÍA SOCIAL DA ECONOMÍA SOCIAL E SOLIDARIA
TXT003,ENSEÑA EL CORAZÓN,ENSENYA EL COR,bihotza erakusten du,ENSINA O CORAZÓN
TXT004,Personas de la organización,Persones de l'organització,pertsona erakundean,Persoas da organización
TXT005,    Mujeres,Dones,Emakumeak,    Mulleres
TXT006,    Hombres,Homes,Gizonak,    Homes
TXT007,    Identidades No binarias,Identitats no-binàries,Nortasun ez-bitarrak,    Identidades non-binarias
TXT008,TRABAJADORAS,Treballadores,LANGILEAK,TRABALLADORAS
G1,La entidad no cuenta con personas trabajadoras,L'entitat no compta amb persones treballadores,Erakundeak ez du langilerik,A entidade non conta con persoas traballadoras
TXT010,VOLUNTARIAS,Voluntàries,BOLUNTARIOAK,VOLUNTARIAS
G2,Por su estructura la entidad no cuenta con personas voluntarias,"Per la seva estructura, l'entitat no compta amb persones voluntàries","Bere egituragatik, erakundeak ez du boluntariorik","Pola súa estrutura, a entidade non conta con persoas voluntarias"
TXT012,ASOCIADAS,Sòcies,BAZKIDEAK,ASOCIADAS
G3,Por su estructura la entidad no cuenta con personas asociadas,"Per la seva estructura, l'entitat no compta amb persones sòcies","Bere egituragatik, erakundeak ez du bazkiderik","Pola súa estrutura, a entidade non conta con persoas asociadas"
TXT014,Ingresos,Ingressos,Diru-sarrerak,Ingresos
TXT015,Gastos,Despeses,Gastuak,Gastos
TXT016,EQUIDAD,EQUITAT,EKITATEA,EQUIDADE
TXT017,Mujeres en puestos de responsabilidad ,Dones en càrrecs directius,Emakumeak erantzukizun postuetan,Mulleres en postos de responsabilidade
E1,Esta entidad cuenta con representación horizontal,Aquesta entitat compta amb representació horitzonal,Erakunde honek ordezkaritza horizontala du,Esta entidade conta con representación horizontal
